ABCD1 	 NP_000024.2 	 sequence length: 745
ABCD1 	 NP_001427676.1 	 sequence length: 845
ABCD1 	 XP_047297873.1 	 sequence length: 575
ABCD1 	 NP_002981.2 	 sequence length: 93
ABCD1 	 XP_047290405.1 	 sequence length: 106
ABCD1 	 XP_054169574.1 	 sequence length: 106
ABCD1 	 XP_054169575.1 	 sequence length: 93
ALPL 	 NP_000469.3 	 sequence length: 524
ALPL 	 NP_001120973.2 	 sequence length: 469
ALPL 	 NP_001170991.1 	 sequence length: 447
ALPL 	 XP_016856392.1 	 sequence length: 472
ALPL 	 XP_054191723.1 	 sequence length: 472
AR 	 NP_000035.2 	 sequence length: 920
AR 	 NP_001011645.1 	 sequence length: 388
AR 	 NP_001334990.1 	 sequence length: 644
AR 	 NP_001334992.1 	 sequence length: 648
AR 	 NP_001334993.1 	 sequence length: 572
AR 	 NP_001648.1 	 sequence length: 252
AR 	 NP_001333071.1 	 sequence length: 172
AR 	 NP_001619.1 	 sequence length: 316
ATP7B 	 NP_000044.2 	 sequence length: 1465
ATP7B 	 NP_001005918.1 	 sequence length: 1258
ATP7B 	 NP_001230111.1 	 sequence length: 1354
ATP7B 	 NP_001317507.1 	 sequence length: 1387
ATP7B 	 NP_001317508.1 	 sequence length: 1381
ATP7B 	 NP_001393442.1 	 sequence length: 1463
ATP7B 	 NP_001393443.1 	 sequence length: 1454
ATP7B 	 NP_001393444.1 	 sequence length: 1447
ATP7B 	 NP_001393446.1 	 sequence length: 1433
ATP7B 	 NP_001393448.1 	 sequence length: 1420
ATP7B 	 NP_001393449.1 	 sequence length: 1417
ATP7B 	 NP_001393452.1 	 sequence length: 1404
ATP7B 	 NP_001393453.1 	 sequence length: 1406
ATP7B 	 NP_001393454.1 	 sequence length: 1400
ATP7B 	 NP_001393455.1 	 sequence length: 1397
ATP7B 	 NP_001393459.1 	 sequence length: 1385
ATP7B 	 NP_001393463.1 	 sequence length: 1369
ATP7B 	 NP_001393464.1 	 sequence length: 1355
ATP7B 	 NP_001393465.1 	 sequence length: 1355
ATP7B 	 NP_001393466.1 	 sequence length: 1352
ATP7B 	 NP_001393467.1 	 sequence length: 1339
ATP7B 	 NP_001393468.1 	 sequence length: 1322
ATP7B 	 NP_001393469.1 	 sequence length: 1316
ATP7B 	 NP_001393470.1 	 sequence length: 1303
ATP7B 	 NP_001393472.1 	 sequence length: 1301
ATP7B 	 NP_001393473.1 	 sequence length: 1271
ATP7B 	 NP_001393474.1 	 sequence length: 1249
ATP7B 	 NP_001393475.1 	 sequence length: 1238
ATP7B 	 NP_001393476.1 	 sequence length: 1184
ATP7B 	 NP_001393477.1 	 sequence length: 1035
BTK 	 NP_000052.1 	 sequence length: 659
BTK 	 NP_001274273.1 	 sequence length: 693
BTK 	 NP_001274274.1 	 sequence length: 483
CASR 	 NP_000379.3 	 sequence length: 1078
CASR 	 NP_001171536.2 	 sequence length: 1088
CASR 	 XP_047305021.1 	 sequence length: 917
CASR 	 XP_054204069.1 	 sequence length: 1078
CASR 	 XP_054204072.1 	 sequence length: 917
CBS 	 NP_000062.1 	 sequence length: 551
CBS 	 NP_001308001.1 	 sequence length: 446
CBS 	 XP_011528076.1 	 sequence length: 582
CBS 	 XP_011528079.1 	 sequence length: 565
CBS 	 XP_011528085.1 	 sequence length: 460
CBS 	 XP_047296974.1 	 sequence length: 568
CBS 	 XP_047296988.1 	 sequence length: 496
CBS 	 XP_054180885.1 	 sequence length: 582
CBS 	 XP_054180887.1 	 sequence length: 568
CBS 	 XP_054180903.1 	 sequence length: 461
CFTR 	 NP_000483.3 	 sequence length: 1480
CYBB 	 NP_000388.2 	 sequence length: 570
CYBB 	 XP_047297811.1 	 sequence length: 468
F7 	 NP_000122.1 	 sequence length: 466
F7 	 NP_001254483.1 	 sequence length: 382
F7 	 NP_062562.1 	 sequence length: 444
F7 	 XP_006720026.2 	 sequence length: 412
F7 	 XP_011535776.2 	 sequence length: 495
F7 	 XP_011535777.2 	 sequence length: 433
