gene	transcript	protein	changes
ABCA12	NM_173076.3	NP_775099.2	134
ABCD1	NM_000033.4	NP_000024.2	327
ACAD9	NM_014049.5	NP_054768.2	103
ACADM	NM_000016.6	NP_000007.1	253
ACADVL	NM_000018.4	NP_000009.1	286
ACAT1	NM_000019.4	NP_000010.1	119
ADA	NM_000022.4	NP_000013.2	106
AGL	NM_000642.3	NP_000019.2	307
AGXT	NM_000030.3	NP_000021.1	232
AHI1	NM_001134831.2	NP_001128302.1	134
AIRE	NM_000383.4	NP_000374.1	120
ALMS1	NM_001378454.1	NP_001365383.1	435
ALOX12B	NM_001139.3	NP_001130.1	104
ALPL	NM_000478.6	NP_000469.3	404
ANK1	NM_000037.4	NP_000028.3	222
ANO5	NM_213599.3	NP_998764.1	127
APC	NM_001127511.3	NP_001120983.2	5
APC	NM_001127510.3	NP_000029.2	1
APC	NM_000038.6	NP_000029.2	758
AR	NM_000044.6	NP_000035.2	269
ARSA	NM_000487.6	NP_000478.3	263
ARSB	NM_000046.5	NP_000037.2	166
ASL	NM_000048.4	NP_000039.2	176
ASPA	NM_000049.4	NP_000040.1	112
ASPM	NM_018136.5	NP_060606.3	151
ATM	NM_000051.4	NP_000042.3	1343
ATP7B	NM_000053.4	NP_000044.2	424
BBS2	NM_031885.5	NP_001364385.1	133
BCKDHA	NM_000709.4	NP_000700.1	113
BEST1	NM_004183.4	NP_004174.1	278
BLM	NM_000057.4	NP_000048.1	221
BRIP1	NM_032043.3	NP_114432.2	326
BTD	NM_001370658.1	NP_001268652.2	161
BTK	NM_000061.3	NP_000052.1	244
CASR	NM_000388.4	NP_000379.3	206
CBS	NM_000071.3	NP_000062.1	197
CC2D2A	NM_001378615.1	NP_001073991.2	194
CDH23	NM_022124.6	NP_071407.4	382
CEP290	NM_025114.4	NP_079390.3	463
CERKL	NM_201548.5	NP_963842.1	104
CFTR	NM_000492.4	NP_000483.3	770
CFTR	NM_000492.3	NP_000483.3	2
CHD7	NM_017780.4	NP_060250.2	426
CHEK2	NM_007194.4	NP_009125.1	295
CLN3	NM_001042432.2	NP_000077.1	127
CNGB3	NM_019098.5	NP_061971.3	147
CPS1	NM_001875.5	NP_001866.2	262
CRB1	NM_201253.3	NP_957705.1	357
CTNS	NM_004937.3	NP_004928.2	112
CYBB	NM_000397.4	NP_000388.2	141
CYP11B1	NM_000497.4	NP_000488.3	126
CYP17A1	NM_000102.4	NP_000093.1	107
CYP27A1	NM_000784.4	NP_000775.1	124
DCLRE1C	NM_001033855.3	NP_001029027.1	103
DICER1	NM_177438.3	NP_001258211.1	326
DUOX2	NM_001363711.2	NP_001350640.1	145
EHMT1	NM_024757.5	NP_079033.4	129
ELP1	NM_003640.5	NP_003631.2	229
ERCC6	NM_000124.4	NP_000115.1	172
ERCC6	NM_001277058.2	NP_001263987.1	6
EVC	NM_153717.3	NP_714928.1	149
EVC2	NM_147127.5	NP_667338.3	173
EXT1	NM_000127.3	NP_000118.2	242
EXT2	NM_207122.2	NP_001376557.1	115
EYS	NM_001142800.2	NP_001136272.1	483
F7	NM_000131.5	NP_000122.1	1
F7	NM_019616.4	NP_062562.1	75
F7	NM_000131.4	NP_000122.1	2
F8	NM_000132.4	NP_000123.1	511
F9	NM_000133.4	NP_000124.1	271
FANCA	NM_000135.4	NP_000126.2	528
FANCI	NM_001113378.2	NP_001106849.1	141
FBN2	NM_001999.4	NP_001990.2	116
